ticker,n_trades,outcome,p,d,q,arima_order,aic,adf_p,lb_p,rmse,mae,random_walk
KXUSAIRANAGREEMENT-27-26APR,8379,0,5,1,5,"ARIMA(5,1,5)",-39407.22,0.01,0,0.0109,0.009,No
KXATPCHALLENGERMATCH-26APR02GUIHUE-HUE,8355,1,2,1,2,"ARIMA(2,1,2)",-51102.35,0.2759,2e-4,0.0704,0.06,No
KXDHSFUNDING-26APR01,5280,0,1,1,2,"ARIMA(1,1,2)",-21645.94,0.5825,0.0052,0.3163,0.2729,No
KXATPCHALLENGERMATCH-26APR02GUIHUE-GUI,4776,0,5,1,1,"ARIMA(5,1,1)",-28746.09,0.5601,0.0075,0.0929,0.0821,No
KXATPCHALLENGERMATCH-26APR02HEIPRA-PRA,3554,0,5,1,2,"ARIMA(5,1,2)",-24502.62,0.2823,0.3628,0.0964,0.0883,Yes
KXNBASPREAD-26APR02SASLAC-SAS19,2928,0,5,1,3,"ARIMA(5,1,3)",-12445.48,0.8401,0,0.4134,0.3168,No
KXNBASPREAD-26APR02CLEGSW-CLE10,2730,0,5,1,2,"ARIMA(5,1,2)",-14548.89,0.8067,0.0291,0.1912,0.1671,No
KXNBASPREAD-26APR02SASLAC-SAS10,2456,1,4,1,3,"ARIMA(4,1,3)",-12797.56,0.8293,0.3336,0.0303,0.0239,Yes
KXNBASPREAD-26APR02SASLAC-SAS4,2181,1,5,1,3,"ARIMA(5,1,3)",-11794.97,0.7799,2e-4,0.2421,0.1924,No
KXATPCHALLENGERMATCH-26APR02HEIPRA-HEI,2096,1,0,1,1,"ARIMA(0,1,1)",-14406.71,0.1828,0.0667,0.0435,0.0368,Yes
KXNBATOTAL-26APR02CLEGSW-226,2079,1,5,1,2,"ARIMA(5,1,2)",-7409.22,0.6547,0.266,0.2642,0.1881,Yes
KXNBASPREAD-26APR02SASLAC-SAS13,2047,1,3,1,3,"ARIMA(3,1,3)",-10463.37,0.8626,0.2234,0.2906,0.2566,Yes
KXNBASPREAD-26APR02SASLAC-SAS7,2016,1,5,1,2,"ARIMA(5,1,2)",-9986.26,0.8147,0.8405,0.1703,0.1487,Yes
KXNBATOTAL-26APR02CLEGSW-229,1956,0,0,1,5,"ARIMA(0,1,5)",-8072.17,0.4077,0.0154,0.1646,0.1486,No
KXNBASPREAD-26APR02SASLAC-SAS16,1902,1,1,1,2,"ARIMA(1,1,2)",-8815.06,0.6632,0.2165,0.1835,0.1398,Yes
KXLEAVESTARMER-26APR01,1837,0,5,1,5,"ARIMA(5,1,5)",-8555.45,0.0434,0.4839,0.0397,0.0352,Yes
KXNBASPREAD-26APR02NOPPOR-POR7,1811,1,1,1,1,"ARIMA(1,1,1)",-9014.08,0.9862,1e-4,0.2673,0.2092,No
KXNBASPREAD-26APR02CLEGSW-CLE7,1792,0,1,1,2,"ARIMA(1,1,2)",-6995.08,0.041,0,0.1314,0.1126,No
KXNBASPREAD-26APR02SASLAC-LAC2,1534,0,4,2,2,"ARIMA(4,2,2)",-9050.34,0.5441,0.3989,0.2283,0.1995,Yes
KXNBASPREAD-26APR02CLEGSW-CLE4,1442,1,0,1,2,"ARIMA(0,1,2)",-5321.78,0.6592,3e-4,0.1127,0.0942,No
KXNBATOTAL-26APR02CLEGSW-223,1399,1,0,1,3,"ARIMA(0,1,3)",-6124.88,0.3386,0.0032,0.1682,0.1455,No
KXMARMADROUND-26E8-NEB,1313,0,5,1,4,"ARIMA(5,1,4)",-5230.8,0.9376,0,0.2147,0.1661,No
KXNBASPREAD-26APR02NOPPOR-POR4,1236,1,0,1,1,"ARIMA(0,1,1)",-6148.14,0.904,0.0886,0.244,0.1703,Yes
KXNBATOTAL-26APR02NOPPOR-232,1188,0,0,1,3,"ARIMA(0,1,3)",-5991.35,0.9287,0.1049,0.1435,0.1171,Yes
KXNBASPREAD-26APR02SASLAC-SAS1,995,1,0,1,2,"ARIMA(0,1,2)",-5636.83,0.6327,0.0815,0.3175,0.2763,Yes
KXWTAMATCH-26APR02ZARSTA-STA,932,1,4,1,0,"ARIMA(4,1,0)",-6312.52,0.4827,0.136,0.0363,0.0293,Yes
KXNBATOTAL-26APR02CLEGSW-220,931,1,2,1,1,"ARIMA(2,1,1)",-4503.25,0.3274,0.3377,0.1156,0.1042,Yes
KXNBATOTAL-26APR02CLEGSW-232,916,0,2,1,1,"ARIMA(2,1,1)",-4088.27,0.7499,0.7977,0.1195,0.1009,Yes
KXNBATOTAL-26APR02NOPPOR-229,854,0,2,1,2,"ARIMA(2,1,2)",-3594.79,0.6841,0.5748,0.307,0.2504,Yes
KXNBASPREAD-26APR02CLEGSW-CLE1,826,1,0,1,3,"ARIMA(0,1,3)",-3811.23,0.9475,0.071,0.2048,0.1682,Yes
KXNBATOTAL-26APR02NOPPOR-226,820,0,5,1,0,"ARIMA(5,1,0)",-2910.21,0.8519,0.0585,0.3696,0.285,Yes
KXNBA1HSPREAD-26APR02MINDET-DET1,816,0,2,1,2,"ARIMA(2,1,2)",-2817.4,0.1687,0.3951,0.1374,0.1035,Yes
KXWTAMATCH-26APR02ZARSTA-ZAR,807,0,2,1,4,"ARIMA(2,1,4)",-5245.7,0.7294,0.0571,0.0125,0.0106,Yes
